config,n_answered,second_guess_per_1k,second_guess_per_trace,uncertainty_per_1k,uncertainty_per_trace,total_per_1k,total_per_trace,second_guess_n,uncertainty_n,words
clean,494,9.653,7.741,13.554,10.868,23.207,18.609,3824,5369,396131
typo25_real10,492,10.112,8.463,13.985,11.705,24.097,20.169,4164,5759,411791
typo25_real40,493,9.429,8.02,12.964,11.026,22.393,19.047,3954,5436,419323
typo25_real70,495,9.347,7.998,14.242,12.186,23.589,20.184,3959,6032,423541
typo50_real10,490,9.434,8.359,14.191,12.573,23.625,20.933,4096,6161,434160
typo50_real40,493,10.083,9.446,15.766,14.771,25.848,24.217,4657,7282,461884
typo50_real70,490,9.459,8.686,15.611,14.335,25.07,23.02,4256,7024,449946
typo75_real10,490,9.978,9.504,16.553,15.767,26.531,25.271,4657,7726,466735
typo75_real40,489,9.815,9.515,17.75,17.209,27.565,26.724,4653,8415,474081
typo75_real70,490,10.18,10.167,18.576,18.553,28.756,28.72,4982,9091,489396
